Country,EdLevel,YearsCodePro,Salary
Brazil,Less than a Bachelor’s degree,4.0,15665.0
United States of America,Master’s degree,12.0,135000.0
Romania,Master’s degree,1.0,19161.0
United States of America,Bachelor’s degree,3.0,125000.0
France,Master’s degree,5.0,69814.0
Brazil,Bachelor’s degree,3.0,22378.0
United States of America,Bachelor’s degree,5.0,138000.0
Romania,Bachelor’s degree,10.0,86309.0
United States of America,Bachelor’s degree,14.0,130000.0
Netherlands,Bachelor’s degree,6.0,107406.0
United States of America,Bachelor’s degree,8.0,110000.0
United States of America,Less than a Bachelor’s degree,24.0,129285.0
Germany,Less than a Bachelor’s degree,7.0,123517.0
United States of America,Bachelor’s degree,3.0,80000.0
Canada,Less than a Bachelor’s degree,7.0,65424.0
Spain,Bachelor’s degree,2.0,30074.0
Brazil,Master’s degree,32.0,93244.0
United States of America,Master’s degree,13.0,199000.0
Canada,Master’s degree,46.0,183000.0
Canada,Bachelor’s degree,1.0,39981.0
Italy,Less than a Bachelor’s degree,10.0,75184.0
Greece,Bachelor’s degree,6.0,90221.0
Sweden,Less than a Bachelor’s degree,26.0,66769.0
United States of America,Bachelor’s degree,10.0,150000.0
United States of America,Less than a Bachelor’s degree,8.0,175000.0
United States of America,Less than a Bachelor’s degree,14.0,118000.0
United States of America,Bachelor’s degree,23.0,149000.0
United States of America,Bachelor’s degree,11.0,89000.0
Brazil,Master’s degree,14.0,65271.0
Russian Federation,Bachelor’s degree,4.0,67227.0
Brazil,Post grad,20.0,60976.0
United States of America,Bachelor’s degree,6.0,155000.0
India,Bachelor’s degree,2.0,35292.0
Germany,Post grad,23.0,114365.0
United States of America,Bachelor’s degree,5.0,125000.0
Germany,Bachelor’s degree,5.0,80555.0
United States of America,Bachelor’s degree,4.0,104000.0
Poland,Master’s degree,17.0,79189.0
Canada,Bachelor’s degree,20.0,85778.0
Brazil,Less than a Bachelor’s degree,16.0,47843.0
United States of America,Less than a Bachelor’s degree,20.0,220000.0
Canada,Bachelor’s degree,3.0,58154.0
Switzerland,Master’s degree,4.0,96933.0
Spain,Less than a Bachelor’s degree,17.0,85350.0
Switzerland,Master’s degree,16.0,144842.0
Poland,Bachelor’s degree,20.0,89087.0
Hungary,Bachelor’s degree,3.0,33969.0
Canada,Less than a Bachelor’s degree,15.0,63606.0
United States of America,Post grad,27.0,200000.0
Germany,Less than a Bachelor’s degree,22.0,76258.0
United States of America,Bachelor’s degree,8.0,142000.0
Switzerland,Bachelor’s degree,5.0,120330.0
United States of America,Bachelor’s degree,8.0,180000.0
United States of America,Master’s degree,2.0,85000.0
United States of America,Bachelor’s degree,10.0,186190.0
United States of America,Less than a Bachelor’s degree,12.0,160000.0
United States of America,Bachelor’s degree,4.0,150000.0
Canada,Master’s degree,7.0,203540.0
Mexico,Less than a Bachelor’s degree,10.0,58238.0
United States of America,Bachelor’s degree,20.0,185000.0
Canada,Less than a Bachelor’s degree,10.0,109039.0
Sweden,Less than a Bachelor’s degree,21.0,62381.0
Norway,Master’s degree,15.0,74873.0
Germany,Less than a Bachelor’s degree,7.0,107406.0
Germany,Master’s degree,5.0,48333.0
United States of America,Bachelor’s degree,10.0,160000.0
United States of America,Bachelor’s degree,11.0,161000.0
India,Bachelor’s degree,1.0,16749.0
Sweden,Bachelor’s degree,5.0,42923.0
United States of America,Bachelor’s degree,3.0,81000.0
Germany,Less than a Bachelor’s degree,4.0,59073.0
United States of America,Master’s degree,10.0,211000.0
United States of America,Master’s degree,2.0,117000.0
Turkey,Bachelor’s degree,3.0,34005.0
United States of America,Bachelor’s degree,38.0,200000.0
Sweden,Master’s degree,29.0,62000.0
United States of America,Bachelor’s degree,9.0,150000.0
Portugal,Less than a Bachelor’s degree,3.0,20300.0
Switzerland,Bachelor’s degree,5.0,94704.0
Spain,Master’s degree,5.0,45111.0
Netherlands,Bachelor’s degree,3.0,61759.0
Mexico,Bachelor’s degree,19.0,10243.0
United States of America,Bachelor’s degree,15.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,24.0,203821.0
United States of America,Bachelor’s degree,8.0,80000.0
Finland,Less than a Bachelor’s degree,2.0,37592.0
Hungary,Master’s degree,5.0,38197.0
United States of America,Bachelor’s degree,18.0,120000.0
Germany,Bachelor’s degree,11.0,75184.0
Brazil,Bachelor’s degree,21.0,130541.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,19.0,127388.0
Germany,Post grad,27.0,64444.0
United States of America,Bachelor’s degree,2.0,100000.0
Brazil,Bachelor’s degree,23.0,67135.0
New Zealand,Bachelor’s degree,12.0,66373.0
United States of America,Less than a Bachelor’s degree,2.0,72450.0
Israel,Less than a Bachelor’s degree,10.0,121429.0
Brazil,Master’s degree,8.0,42892.0
Canada,Bachelor’s degree,0.5,32712.0
United States of America,Less than a Bachelor’s degree,13.0,170000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,17.0,101910.0
United States of America,Bachelor’s degree,16.0,165000.0
Germany,Master’s degree,1.0,59073.0
Turkey,Bachelor’s degree,1.0,24731.0
United States of America,Master’s degree,30.0,180000.0
Belgium,Master’s degree,8.0,66592.0
United States of America,Less than a Bachelor’s degree,13.0,165000.0
Germany,Master’s degree,25.0,66592.0
Denmark,Less than a Bachelor’s degree,31.0,115202.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,2.0,31847.0
Netherlands,Post grad,28.0,53703.0
Canada,Bachelor’s degree,17.0,79962.0
Sweden,Master’s degree,14.0,143076.0
Mexico,Master’s degree,8.0,52992.0
Brazil,Less than a Bachelor’s degree,12.0,34687.0
United States of America,Bachelor’s degree,2.0,90000.0
Germany,Less than a Bachelor’s degree,22.0,97740.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,29.0,127388.0
Brazil,Bachelor’s degree,8.0,44757.0
Ukraine,Master’s degree,2.0,22216.0
United States of America,Post grad,9.0,115000.0
United States of America,Less than a Bachelor’s degree,1.0,95000.0
United States of America,Master’s degree,10.0,86000.0
Brazil,Less than a Bachelor’s degree,27.0,46622.0
United States of America,Bachelor’s degree,14.0,240000.0
United States of America,Bachelor’s degree,8.0,110000.0
United States of America,Bachelor’s degree,30.0,165000.0
Canada,Bachelor’s degree,5.0,113401.0
Brazil,Master’s degree,2.0,21633.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,37.0,99999.0
Netherlands,Bachelor’s degree,3.0,118147.0
Russian Federation,Bachelor’s degree,11.0,30924.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,152865.0
United States of America,Bachelor’s degree,7.0,180000.0
United States of America,Bachelor’s degree,8.0,140000.0
Canada,Less than a Bachelor’s degree,10.0,98135.0
Germany,Master’s degree,8.0,67236.0
United States of America,Bachelor’s degree,18.0,126000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,58598.0
United States of America,Bachelor’s degree,2.0,120000.0
United States of America,Bachelor’s degree,10.0,170000.0
Canada,Bachelor’s degree,13.0,133755.0
Russian Federation,Post grad,20.0,134454.0
United States of America,Bachelor’s degree,6.0,75000.0
United States of America,Less than a Bachelor’s degree,23.0,196000.0
Germany,Master’s degree,9.0,66592.0
United States of America,Bachelor’s degree,19.0,95000.0
United States of America,Master’s degree,8.0,200000.0
Belgium,Bachelor’s degree,4.0,47259.0
United States of America,Bachelor’s degree,30.0,170000.0
Germany,Post grad,23.0,225553.0
Brazil,Bachelor’s degree,24.0,111892.0
Switzerland,Master’s degree,20.0,144842.0
Spain,Less than a Bachelor’s degree,0.5,19870.0
Brazil,Bachelor’s degree,17.0,69373.0
Finland,Master’s degree,4.0,59073.0
Germany,Less than a Bachelor’s degree,22.0,98814.0
Canada,Bachelor’s degree,25.0,90866.0
Poland,Less than a Bachelor’s degree,1.0,20396.0
United States of America,Bachelor’s degree,30.0,225000.0
Sweden,Master’s degree,8.0,77013.0
Brazil,Master’s degree,14.0,47554.0
United States of America,Bachelor’s degree,8.0,169000.0
United States of America,Master’s degree,8.0,100000.0
Spain,Less than a Bachelor’s degree,3.0,35444.0
Ukraine,Master’s degree,3.0,60000.0
France,Less than a Bachelor’s degree,3.0,46185.0
Germany,Master’s degree,5.0,85925.0
France,Master’s degree,20.0,150369.0
Brazil,Less than a Bachelor’s degree,11.0,19022.0
Germany,Post grad,10.0,107406.0
United States of America,Master’s degree,18.0,150000.0
United States of America,Bachelor’s degree,20.0,136000.0
United States of America,Bachelor’s degree,4.0,105000.0
Greece,Bachelor’s degree,8.0,60147.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,19.0,89172.0
Canada,Less than a Bachelor’s degree,5.0,114128.0
United States of America,Bachelor’s degree,3.0,127000.0
Germany,Less than a Bachelor’s degree,23.0,102036.0
United States of America,Bachelor’s degree,20.0,200000.0
United States of America,Bachelor’s degree,24.0,83000.0
Spain,Master’s degree,2.0,32222.0
Russian Federation,Master’s degree,17.0,73950.0
Netherlands,Master’s degree,18.0,107406.0
Portugal,Master’s degree,12.0,74110.0
United States of America,Master’s degree,13.0,143000.0
Sweden,Less than a Bachelor’s degree,18.0,74400.0
United States of America,Post grad,22.0,199642.0
Spain,Bachelor’s degree,3.0,39740.0
United States of America,Bachelor’s degree,8.0,125000.0
Romania,Master’s degree,7.0,103571.0
Spain,Less than a Bachelor’s degree,4.0,75184.0
Poland,Bachelor’s degree,25.0,64444.0
United States of America,Bachelor’s degree,25.0,120000.0
United States of America,Bachelor’s degree,7.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,4.0,76433.0
Netherlands,Less than a Bachelor’s degree,20.0,107406.0
Germany,Bachelor’s degree,7.0,66615.0
Brazil,Bachelor’s degree,5.0,24243.0
Ukraine,Less than a Bachelor’s degree,1.0,10800.0
United Kingdom of Great Britain and Northern Ireland,Post grad,6.0,45860.0
Poland,Less than a Bachelor’s degree,11.0,65578.0
United States of America,Master’s degree,6.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,45860.0
Denmark,Less than a Bachelor’s degree,7.0,103681.0
United States of America,Bachelor’s degree,2.0,95000.0
United States of America,Bachelor’s degree,2.0,130000.0
France,Master’s degree,5.0,53703.0
Spain,Less than a Bachelor’s degree,4.0,35444.0
Portugal,Less than a Bachelor’s degree,9.0,37592.0
Russian Federation,Less than a Bachelor’s degree,7.0,55000.0
United States of America,Bachelor’s degree,2.0,148000.0
United States of America,Bachelor’s degree,2.0,117000.0
Canada,Bachelor’s degree,7.0,79962.0
United States of America,Bachelor’s degree,3.0,209000.0
Australia,Bachelor’s degree,27.0,79279.0
Romania,Bachelor’s degree,20.0,43155.0
Italy,Master’s degree,10.0,59073.0
United States of America,Bachelor’s degree,5.0,130000.0
France,Master’s degree,25.0,80555.0
Pakistan,Bachelor’s degree,5.0,47677.0
Australia,Bachelor’s degree,8.0,101940.0
United States of America,Bachelor’s degree,11.0,90000.0
United States of America,Bachelor’s degree,9.0,250000.0
Germany,Less than a Bachelor’s degree,9.0,53703.0
United States of America,Bachelor’s degree,2.0,140000.0
Australia,Bachelor’s degree,18.0,132132.0
Australia,Master’s degree,8.0,92492.0
Australia,Bachelor’s degree,7.0,198198.0
Norway,Less than a Bachelor’s degree,22.0,102950.0
United States of America,Less than a Bachelor’s degree,30.0,75000.0
Australia,Bachelor’s degree,13.0,92492.0
Australia,Bachelor’s degree,2.0,99099.0
United States of America,Bachelor’s degree,2.0,220000.0
United States of America,Master’s degree,8.0,185000.0
United States of America,Master’s degree,10.0,153000.0
Canada,Less than a Bachelor’s degree,3.0,47250.0
United States of America,Less than a Bachelor’s degree,10.0,130000.0
United States of America,Bachelor’s degree,30.0,110000.0
United States of America,Less than a Bachelor’s degree,1.0,75000.0
United States of America,Bachelor’s degree,19.0,160000.0
Canada,Bachelor’s degree,3.0,66877.0
United States of America,Master’s degree,4.0,140000.0
Canada,Bachelor’s degree,6.0,43616.0
United States of America,Master’s degree,26.0,175000.0
Canada,Bachelor’s degree,6.0,65424.0
United States of America,Less than a Bachelor’s degree,21.0,175000.0
Australia,Master’s degree,44.0,79279.0
United States of America,Master’s degree,21.0,145000.0
Brazil,Bachelor’s degree,4.0,22378.0
Canada,Master’s degree,9.0,163559.0
United States of America,Post grad,24.0,180000.0
United States of America,Bachelor’s degree,2.0,135000.0
Australia,Bachelor’s degree,11.0,165165.0
United States of America,Bachelor’s degree,39.0,250000.0
Australia,Bachelor’s degree,17.0,136096.0
Canada,Master’s degree,32.0,109039.0
United States of America,Bachelor’s degree,23.0,107271.0
United States of America,Bachelor’s degree,12.0,240000.0
United States of America,Master’s degree,5.0,190000.0
United States of America,Bachelor’s degree,9.0,172000.0
United States of America,Bachelor’s degree,14.0,175000.0
United States of America,Bachelor’s degree,0.5,75000.0
United States of America,Bachelor’s degree,8.0,112000.0
Japan,Bachelor’s degree,11.0,15275.0
Brazil,Bachelor’s degree,10.0,65271.0
Mexico,Less than a Bachelor’s degree,0.5,21564.0
United States of America,Post grad,8.0,210000.0
United States of America,Bachelor’s degree,20.0,215000.0
United States of America,Master’s degree,8.0,148000.0
United States of America,Bachelor’s degree,23.0,202000.0
United States of America,Bachelor’s degree,10.0,150000.0
United States of America,Less than a Bachelor’s degree,18.0,100000.0
Canada,Bachelor’s degree,3.0,65424.0
United States of America,Master’s degree,8.0,225000.0
Canada,Master’s degree,18.0,127940.0
Taiwan,Master’s degree,10.0,40149.0
United States of America,Master’s degree,2.0,165000.0
India,Bachelor’s degree,19.0,59817.0
Australia,Bachelor’s degree,9.0,96456.0
United States of America,Bachelor’s degree,17.0,130000.0
Australia,Bachelor’s degree,10.0,112312.0
Pakistan,Bachelor’s degree,6.0,24003.0
United States of America,Master’s degree,18.0,125000.0
Australia,Less than a Bachelor’s degree,0.5,46246.0
United States of America,Bachelor’s degree,9.0,87000.0
United States of America,Master’s degree,40.0,200000.0
Canada,Bachelor’s degree,16.0,94501.0
South Africa,Less than a Bachelor’s degree,22.0,54239.0
Australia,Bachelor’s degree,4.0,85886.0
United States of America,Master’s degree,15.0,150000.0
Australia,Bachelor’s degree,0.5,72673.0
India,Master’s degree,3.0,15553.0
New Zealand,Bachelor’s degree,1.0,46092.0
United States of America,Less than a Bachelor’s degree,24.0,175000.0
United States of America,Less than a Bachelor’s degree,23.0,220000.0
India,Master’s degree,9.0,11963.0
Canada,Post grad,11.0,187701.0
New Zealand,Bachelor’s degree,11.0,76821.0
France,Bachelor’s degree,3.0,80220.0
New Zealand,Bachelor’s degree,24.0,51009.0
United States of America,Less than a Bachelor’s degree,20.0,150000.0
United States of America,Less than a Bachelor’s degree,10.0,145374.0
Greece,Master’s degree,14.0,80000.0
Japan,Bachelor’s degree,4.0,36914.0
India,Master’s degree,8.0,16749.0
Turkey,Bachelor’s degree,2.0,24780.0
Australia,Bachelor’s degree,16.0,132132.0
United States of America,Master’s degree,7.0,130000.0
United States of America,Master’s degree,1.0,120000.0
Hungary,Bachelor’s degree,4.0,42394.0
New Zealand,Bachelor’s degree,9.0,101403.0
Australia,Bachelor’s degree,5.0,56817.0
Germany,Less than a Bachelor’s degree,5.0,91295.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,101910.0
Australia,Bachelor’s degree,15.0,112312.0
United States of America,Bachelor’s degree,24.0,200000.0
India,Master’s degree,9.0,28712.0
Spain,Master’s degree,25.0,59073.0
India,Bachelor’s degree,3.0,14356.0
Ukraine,Bachelor’s degree,2.0,14810.0
Romania,Post grad,10.0,23303.0
Germany,Less than a Bachelor’s degree,20.0,118147.0
Germany,Master’s degree,18.0,92369.0
Poland,Bachelor’s degree,13.0,53452.0
Germany,Bachelor’s degree,4.0,80555.0
Sweden,Master’s degree,6.0,53606.0
Australia,Bachelor’s degree,20.0,89189.0
Australia,Bachelor’s degree,3.0,56156.0
South Africa,Bachelor’s degree,5.0,37666.0
Germany,Master’s degree,2.0,71962.0
Austria,Master’s degree,16.0,94732.0
India,Master’s degree,12.0,23927.0
Italy,Less than a Bachelor’s degree,15.0,52629.0
India,Master’s degree,11.0,38283.0
Japan,Bachelor’s degree,8.0,79555.0
Switzerland,Less than a Bachelor’s degree,2.0,74761.0
Sweden,Master’s degree,8.0,75659.0
Australia,Less than a Bachelor’s degree,15.0,99099.0
Sweden,Bachelor’s degree,6.0,49600.0
Germany,Master’s degree,38.0,76248.0
Germany,Master’s degree,7.0,64444.0
Germany,Less than a Bachelor’s degree,11.0,45111.0
Germany,Less than a Bachelor’s degree,2.0,39740.0
Italy,Bachelor’s degree,37.0,64444.0
Ukraine,Bachelor’s degree,2.0,23697.0
Romania,Bachelor’s degree,3.0,28612.0
France,Master’s degree,18.0,96666.0
Switzerland,Master’s degree,20.0,155984.0
Norway,Master’s degree,24.0,102950.0
Poland,Master’s degree,9.0,32170.0
India,Master’s degree,11.0,71781.0
Turkey,Bachelor’s degree,4.0,30914.0
Germany,Less than a Bachelor’s degree,12.0,80555.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,53503.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,94267.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,32.0,216559.0
Israel,Bachelor’s degree,28.0,148413.0
Italy,Less than a Bachelor’s degree,2.0,30074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,84076.0
Spain,Post grad,2.0,24703.0
India,Bachelor’s degree,4.0,22731.0
Taiwan,Master’s degree,4.0,32120.0
France,Bachelor’s degree,28.0,38666.0
Germany,Bachelor’s degree,11.0,62296.0
France,Post grad,10.0,107406.0
Poland,Bachelor’s degree,7.0,95026.0
France,Master’s degree,8.0,61222.0
Turkey,Less than a Bachelor’s degree,10.0,83467.0
Switzerland,Master’s degree,8.0,144842.0
Germany,Less than a Bachelor’s degree,6.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,21.0,129936.0
Spain,Master’s degree,8.0,42425.0
Germany,Master’s degree,5.0,75184.0
Canada,Master’s degree,3.0,65424.0
Germany,Master’s degree,6.0,66592.0
Canada,Post grad,4.0,109039.0
Poland,Less than a Bachelor’s degree,3.0,27221.0
Netherlands,Master’s degree,9.0,71425.0
France,Master’s degree,17.0,32222.0
India,Master’s degree,5.0,32002.0
Germany,Master’s degree,18.0,107406.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,146496.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,5.0,67516.0
Greece,Master’s degree,6.0,45111.0
United Kingdom of Great Britain and Northern Ireland,Post grad,12.0,63694.0
France,Master’s degree,12.0,53703.0
Poland,Master’s degree,3.0,21381.0
Denmark,Bachelor’s degree,20.0,69121.0
Denmark,Master’s degree,25.0,136802.0
India,Bachelor’s degree,3.0,29909.0
Switzerland,Less than a Bachelor’s degree,12.0,111417.0
Germany,Bachelor’s degree,12.0,61222.0
Taiwan,Master’s degree,4.0,24707.0
Netherlands,Bachelor’s degree,0.5,44037.0
Germany,Bachelor’s degree,2.0,59288.0
Australia,Bachelor’s degree,10.0,165165.0
Greece,Less than a Bachelor’s degree,5.0,24166.0
Taiwan,Bachelor’s degree,2.0,16986.0
Switzerland,Less than a Bachelor’s degree,14.0,108956.0
Czech Republic,Less than a Bachelor’s degree,3.0,26061.0
Sweden,Master’s degree,5.0,45784.0
Italy,Master’s degree,10.0,59073.0
Spain,Bachelor’s degree,5.0,32759.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,152865.0
India,Bachelor’s degree,3.0,11963.0
India,Bachelor’s degree,2.0,15553.0
Hungary,Master’s degree,7.0,45655.0
Poland,Less than a Bachelor’s degree,2.0,25241.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,58344.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,23.0,76433.0
Romania,Bachelor’s degree,4.0,23303.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,70063.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,76433.0
Belgium,Master’s degree,1.0,44681.0
India,Bachelor’s degree,11.0,16749.0
Canada,Bachelor’s degree,2.0,61789.0
Germany,Master’s degree,9.0,64444.0
Germany,Less than a Bachelor’s degree,17.0,107406.0
Ukraine,Master’s degree,25.0,92000.0
Italy,Bachelor’s degree,13.0,41888.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,2.0,31847.0
Netherlands,Master’s degree,8.0,102036.0
Poland,Master’s degree,4.0,10641.0
Germany,Less than a Bachelor’s degree,8.0,52629.0
Germany,Less than a Bachelor’s degree,11.0,64444.0
France,Master’s degree,13.0,85925.0
Denmark,Less than a Bachelor’s degree,3.0,16128.0
India,Bachelor’s degree,20.0,34694.0
France,Master’s degree,6.0,51555.0
Switzerland,Bachelor’s degree,27.0,144842.0
Czech Republic,Less than a Bachelor’s degree,3.0,23889.0
Spain,Post grad,3.0,22555.0
Germany,Less than a Bachelor’s degree,3.0,48870.0
France,Master’s degree,2.0,39203.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,58598.0
Poland,Less than a Bachelor’s degree,3.0,29696.0
Italy,Bachelor’s degree,3.0,30074.0
Ukraine,Master’s degree,8.0,120000.0
Switzerland,Bachelor’s degree,23.0,116988.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,19.0,63694.0
Ukraine,Master’s degree,10.0,44431.0
Spain,Less than a Bachelor’s degree,16.0,34370.0
United States of America,Less than a Bachelor’s degree,30.0,200000.0
India,Bachelor’s degree,2.0,10767.0
Ukraine,Master’s degree,5.0,51836.0
India,Bachelor’s degree,1.0,29909.0
Germany,Master’s degree,0.5,53703.0
Spain,Bachelor’s degree,23.0,69814.0
India,Bachelor’s degree,11.0,40676.0
Italy,Master’s degree,15.0,150369.0
Ukraine,Bachelor’s degree,11.0,75000.0
Poland,Master’s degree,11.0,148479.0
Germany,Bachelor’s degree,15.0,89259.0
Sweden,Less than a Bachelor’s degree,7.0,57230.0
Poland,Master’s degree,8.0,44544.0
Bangladesh,Bachelor’s degree,8.0,31612.0
France,Bachelor’s degree,32.0,67666.0
Germany,Less than a Bachelor’s degree,6.0,45111.0
Poland,Master’s degree,7.0,98986.0
Poland,Bachelor’s degree,6.0,64341.0
Turkey,Bachelor’s degree,10.0,19661.0
Switzerland,Master’s degree,2.0,86905.0
Switzerland,Post grad,8.0,83563.0
Spain,Master’s degree,8.0,59073.0
Netherlands,Less than a Bachelor’s degree,10.0,69814.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,57325.0
Ukraine,Bachelor’s degree,5.0,43839.0
Ukraine,Master’s degree,6.0,64178.0
Italy,Master’s degree,11.0,61222.0
France,Master’s degree,3.0,45111.0
Switzerland,Less than a Bachelor’s degree,6.0,100275.0
Netherlands,Less than a Bachelor’s degree,7.0,79588.0
Ukraine,Bachelor’s degree,4.0,37026.0
Poland,Master’s degree,12.0,59391.0
Ukraine,Master’s degree,19.0,54220.0
Ukraine,Master’s degree,21.0,16291.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,11.0,101910.0
Czech Republic,Master’s degree,8.0,52122.0
Spain,Master’s degree,13.0,64444.0
Portugal,Master’s degree,2.0,32222.0
France,Master’s degree,3.0,40814.0
Hungary,Bachelor’s degree,4.0,35328.0
India,Bachelor’s degree,4.0,19142.0
Ukraine,Master’s degree,10.0,80000.0
Spain,Master’s degree,6.0,51555.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,89172.0
Czech Republic,Less than a Bachelor’s degree,5.0,29101.0
Germany,Master’s degree,6.0,107406.0
France,Less than a Bachelor’s degree,7.0,41888.0
Greece,Less than a Bachelor’s degree,8.0,48333.0
Netherlands,Less than a Bachelor’s degree,0.5,45111.0
Poland,Bachelor’s degree,4.0,37120.0
Italy,Post grad,5.0,61222.0
Belgium,Master’s degree,0.5,44037.0
Israel,Less than a Bachelor’s degree,6.0,123048.0
Russian Federation,Bachelor’s degree,3.0,48314.0
Israel,Bachelor’s degree,8.0,134921.0
Turkey,Bachelor’s degree,22.0,18548.0
Poland,Master’s degree,16.0,84633.0
Turkey,Bachelor’s degree,9.0,24731.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,63057.0
India,Bachelor’s degree,7.0,10169.0
Poland,Post grad,18.0,59391.0
Ukraine,Master’s degree,2.0,12000.0
Ukraine,Master’s degree,2.0,17772.0
Ukraine,Bachelor’s degree,10.0,24684.0
Ukraine,Master’s degree,16.0,102000.0
Canada,Bachelor’s degree,10.0,79381.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,31.0,47134.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,52356.0
Belgium,Bachelor’s degree,12.0,96666.0
Netherlands,Bachelor’s degree,3.0,57071.0
India,Bachelor’s degree,13.0,25123.0
Finland,Master’s degree,14.0,77332.0
Israel,Bachelor’s degree,12.0,161905.0
Sweden,Master’s degree,21.0,76307.0
India,Bachelor’s degree,7.0,28712.0
Italy,Master’s degree,11.0,40814.0
Poland,Master’s degree,1.0,17323.0
Netherlands,Master’s degree,8.0,182591.0
France,Bachelor’s degree,24.0,75184.0
India,Master’s degree,10.0,64603.0
Netherlands,Bachelor’s degree,4.0,41888.0
Hungary,Bachelor’s degree,3.0,32610.0
Czech Republic,Bachelor’s degree,5.0,41828.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,15.0,190445.0
Norway,Bachelor’s degree,24.0,90783.0
Italy,Bachelor’s degree,14.0,80555.0
Ukraine,Bachelor’s degree,2.0,18069.0
Germany,Master’s degree,16.0,107406.0
Portugal,Bachelor’s degree,7.0,40814.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,127388.0
Ukraine,Master’s degree,12.0,100000.0
Denmark,Master’s degree,12.0,72001.0
Sweden,Less than a Bachelor’s degree,10.0,76307.0
Hungary,Bachelor’s degree,11.0,70113.0
France,Post grad,7.0,71962.0
Brazil,Less than a Bachelor’s degree,20.0,42333.0
India,Bachelor’s degree,3.0,38283.0
Germany,Less than a Bachelor’s degree,11.0,67666.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,89808.0
Brazil,Bachelor’s degree,10.0,105000.0
Hungary,Bachelor’s degree,4.0,27175.0
Netherlands,Master’s degree,10.0,77332.0
Spain,Master’s degree,8.0,48333.0
India,Master’s degree,9.0,23927.0
Ukraine,Master’s degree,3.0,46899.0
Germany,Bachelor’s degree,11.0,106332.0
Norway,Master’s degree,7.0,88912.0
Ukraine,Post grad,5.0,60000.0
Netherlands,Less than a Bachelor’s degree,12.0,53703.0
Germany,Bachelor’s degree,1.0,55851.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,140127.0
France,Master’s degree,20.0,57462.0
Germany,Bachelor’s degree,20.0,92369.0
Germany,Less than a Bachelor’s degree,15.0,64444.0
Sweden,Less than a Bachelor’s degree,12.0,56086.0
Norway,Less than a Bachelor’s degree,5.0,54283.0
Denmark,Less than a Bachelor’s degree,9.0,115202.0
Japan,Post grad,13.0,32077.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,26.0,110191.0
Ukraine,Master’s degree,9.0,63155.0
Netherlands,Bachelor’s degree,5.0,61222.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,25.0,101910.0
Australia,Bachelor’s degree,2.0,83243.0
Netherlands,Bachelor’s degree,13.0,111702.0
Sweden,Master’s degree,4.0,57230.0
Italy,Master’s degree,10.0,45873.0
Greece,Bachelor’s degree,6.0,54777.0
India,Bachelor’s degree,11.0,25000.0
Brazil,Bachelor’s degree,19.0,26854.0
Germany,Less than a Bachelor’s degree,24.0,69599.0
